Overs,Wkts,Mdns,Runs,BBI,Ave,Econ,SR
284.5,106,1,2061,05-Jun,19.44,7.23,16.1
361.2,98,4,2396,04-Nov,24.44,6.63,22.1
277.5,92,2,1894,May-20,20.58,6.81,18.1
238.2,85,2,1516,Apr-19,17.83,6.36,16.8
200.3,85,2,1443,05-Jun,16.97,7.19,14.1
171,84,1,1052,05-Mar,12.52,6.15,12.2
221.2,75,1,1539,Apr-20,20.52,6.95,17.7
233.3,75,2,1954,May-18,26.05,8.36,18.6
256.4,69,5,1839,04-Oct,26.65,7.16,22.3
205.1,66,6,1530,Apr-31,23.18,7.45,18.6
147.3,66,5,952,06-Aug,14.42,6.45,13.4
195.3,65,2,1491,Apr-24,22.93,7.62,18
140.5,63,0,948,May-23,15.04,6.73,13.4
157.1,61,3,1068,04-Sep,17.5,6.79,15.4
175.4,59,5,1224,Apr-13,20.74,6.96,17.8
187.1,58,0,1278,Apr-16,22.03,6.82,19.3
150.3,58,0,1134,Apr-45,19.55,7.53,15.5
191,56,4,1180,Apr-15,21.07,6.17,20.4
151.3,54,0,1300,04-Jun,24.07,8.58,16.8
186.1,54,2,1226,04-Oct,22.7,6.58,20.6
202.2,54,3,1454,03-Dec,26.92,7.18,22.4
149.1,54,1,938,Apr-35,17.37,6.28,16.5
170,53,2,1138,Mar-16,21.47,6.69,19.2
172.3,53,3,1190,Apr-19,22.45,6.89,19.5
171,52,2,1193,04-Aug,22.94,6.97,19.7
173.4,52,0,1470,Apr-28,28.26,8.46,20
140.3,52,1,1139,Jun-25,21.9,8.1,16.2
135.1,52,3,1065,May-22,20.48,7.87,15.5
183.4,52,1,1105,04-Dec,21.25,6.01,21.1
153.1,51,5,1029,03-Nov,20.17,6.71,18
175.4,51,1,1628,Mar-24,31.92,9.26,20.6
135,51,4,859,Mar-13,16.84,6.36,15.8
128.5,49,1,928,04-Nov,18.93,7.2,15.7
143.5,49,0,1185,Apr-24,24.18,8.23,17.6
155,48,2,1187,Apr-15,24.72,7.65,19.3
158.4,47,3,1191,Apr-17,25.34,7.5,20.2
138.3,47,0,1131,Mar-18,24.06,8.16,17.6
136.1,47,2,945,04-Nov,20.1,6.94,17.3
135.3,46,1,948,Apr-14,20.6,6.99,17.6
111,45,2,778,Apr-19,17.28,7,14.8
125,45,2,903,May-27,20.06,7.22,16.6
121.4,44,4,838,Apr-16,19.04,6.88,16.5
95.5,44,1,730,May-19,16.59,7.61,13
152.4,44,0,1116,May-26,25.36,7.31,20.8
117.2,43,4,780,04-Jul,18.13,6.64,16.3
149.3,43,1,1228,Mar-26,28.55,8.21,20.8
147,42,3,877,May-14,20.88,5.96,21
189.5,42,1,1527,Apr-19,36.35,8.04,27.1
154.2,41,2,1088,May-24,26.53,7.04,22.5
124.5,41,3,1038,Apr-13,25.31,8.31,18.2
86.5,41,2,724,Apr-28,17.65,8.33,12.7
91.2,40,0,673,Mar-20,16.82,7.36,13.7
123.3,40,2,980,Apr-44,24.5,7.93,18.5
118.5,40,0,847,03-Sep,21.17,7.12,17.8
98.5,39,1,854,Apr-34,21.89,8.64,15.2
117,39,1,1020,Apr-22,26.15,8.71,18
133,39,1,1000,03-Nov,25.64,7.51,20.4
